show_id,show_cache_time,show_canonical_name,show_clips_count,show_episodes_count,show_feature_films_count,show_film_clips_count,show_genre,show_is_movie,show_is_showtime_only,show_is_subscriber_only,show_rating,show_seasons_count,show_series_id,show_type,show_videos_count,show_company_name
21721,2017-08-10T14:30:46+00:00,steven-universe,102,102,0,0,Comedy,False,False,False,4.416828893,3,50019892,show,204,Cartoon Network
57,2017-08-10T15:12:13+00:00,kitchen-nightmares,1,92,0,0,Reality and Game Shows,False,False,False,4.019048561,6,23,show,93,FOX
21985,2017-08-10T14:22:08+00:00,the-last-man-on-earth,65,48,0,0,Comedy,False,False,False,4.339346137,3,50020342,show,113,FOX
5638,2017-08-10T14:38:02+00:00,yu-gi-oh,4,236,0,0,Anime,False,False,False,3.6746067410000003,5,50002567,show,240,4K Media
23200,2017-08-10T15:10:16+00:00,elementary,1,120,0,0,Drama,False,False,False,4.574669187,5,50021483,show,121,CBS
969,2017-08-10T15:37:26+00:00,americas-got-talent,171,12,0,0,Reality and Game Shows,False,False,False,3.335469442,1,240,show,183,NBC
12844,2017-08-10T14:38:08+00:00,sabrina-the-teenage-witch,0,163,0,0,Family,False,False,False,3.905827813,7,50010208,show,163,CBS
2458,2017-08-10T15:04:09+00:00,shark-tank,18,5,0,0,Reality and Game Shows,False,False,False,4.278262211,2,12191,show,23,ABC
12138,2017-08-10T15:38:23+00:00,teenage-mutant-ninja-turtles,44,100,0,0,Kids,False,False,False,3.7796865110000004,4,50009406,show,144,Nickelodeon
51,2017-08-10T14:13:00+00:00,arrested-development,249,53,0,0,Comedy,False,False,False,4.687830774,3,412,show,302,Fox Television Classics
1861,2017-08-10T15:19:26+00:00,stargate-sg-1,0,214,0,0,Science Fiction,False,False,False,4.315301436,10,11387,show,214,MGM
6901,2017-08-10T14:25:33+00:00,fairy-tail,0,349,0,0,Anime,False,False,False,4.520954045,8,50003897,show,349,Funimation
177,2017-08-10T14:48:45+00:00,top-chef,1510,203,0,0,Reality and Game Shows,False,False,False,4.252735986999999,13,211,show,1713,Bravo
9673,2017-08-10T15:14:17+00:00,scandal,167,5,0,0,Drama,False,False,False,4.711270845,1,50004665,show,172,ABC
11217,2017-08-10T15:22:51+00:00,smallville,0,218,0,0,Drama,False,False,False,4.467553413,10,50008446,show,218,Warner Bros.
