"show_teir","teir_average","number_of_shows","teir_score"
"TOP","4.404032448764705","85","0.7798165137614679"
"HIGH","3.566159113318182","22","0.2018348623853211"
"LOW","2.5603990894999997","2","0.01834862385321101"
